school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime
michigan,basketball,2015-11-20,REG,Xavier,Big East,L,70,86,,2,1,L 1,Crisler Arena,0.0,24,9:00p
michigan,basketball,2015-11-25,REG,Connecticut (18),AAC,L,60,74,,2,2,L 2,Imperial Arena at Atlantis Resort,0.0,-,9:30p
michigan,basketball,2015-11-26,REG,Charlotte,CUSA,W,102,47,,3,2,W 1,Imperial Arena at Atlantis Resort,0.0,-,9:30p
michigan,basketball,2015-11-27,REG,Texas,Big 12,W,78,72,,4,2,W 2,Imperial Arena at Atlantis Resort,0.0,-,7:00p
michigan,basketball,2015-12-01,REG,NC State,ACC,W,66,59,,5,2,W 3,PNC Arena,0.0,-,7:00p
michigan,basketball,2015-12-05,REG,Houston Baptist,Southland,W,82,57,,6,2,W 4,Crisler Arena,0.0,-,2:00p
michigan,basketball,2015-12-08,REG,Southern Methodist (19),AAC,L,58,82,,6,3,L 1,Moody Coliseum ,0.0,-,9:00p
michigan,basketball,2015-12-12,REG,Delaware State,MEAC,W,80,33,,7,3,W 1,Crisler Arena,0.0,-,12:00p
michigan,basketball,2015-12-15,REG,Northern Kentucky,Horizon,W,77,62,,8,3,W 2,Crisler Arena,0.0,-,7:00p
michigan,basketball,2015-12-19,REG,Youngstown State,Horizon,W,105,46,,9,3,W 3,Crisler Arena,0.0,-,6:00p
michigan,basketball,2015-12-23,REG,Bryant,NEC,W,96,60,,10,3,W 4,Crisler Arena,0.0,-,7:00p
michigan,basketball,2015-12-30,REG,Illinois,Big Ten,W,78,68,,11,3,W 5,State Farm Center,0.0,-,3:00p
michigan,basketball,2016-01-02,REG,Penn State,Big Ten,W,79,56,,12,3,W 6,Crisler Arena,0.0,-,12:00p
michigan,basketball,2016-01-07,REG,Purdue (20),Big Ten,L,70,87,,12,4,L 1,Mackey Arena,0.0,-,7:00p
michigan,basketball,2016-01-12,REG,Maryland (3),Big Ten,W,70,67,,13,4,W 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2016-01-17,REG,Iowa (16),Big Ten,L,71,82,,13,5,L 1,Carver-Hawkeye Arena,0.0,-,4:30p
michigan,basketball,2016-01-20,REG,Minnesota,Big Ten,W,74,69,,14,5,W 1,Crisler Arena,0.0,-,8:30p
michigan,basketball,2016-01-23,REG,Nebraska,Big Ten,W,81,68,,15,5,W 2,Pinnacle Bank Arena,0.0,-,2:00p
michigan,basketball,2016-01-27,REG,Rutgers,Big Ten,W,68,57,,16,5,W 3,Crisler Arena,0.0,-,7:00p
michigan,basketball,2016-01-30,REG,Penn State,Big Ten,W,79,72,,17,5,W 4,Madison Square Garden (IV),0.0,-,12:00p
michigan,basketball,2016-02-02,REG,Indiana (22),Big Ten,L,67,80,,17,6,L 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2016-02-06,REG,Michigan State (10),Big Ten,L,73,89,,17,7,L 2,Crisler Arena,0.0,-,2:00p
michigan,basketball,2016-02-10,REG,Minnesota,Big Ten,W,82,74,,18,7,W 1,Williams Arena,0.0,-,9:00p
michigan,basketball,2016-02-13,REG,Purdue (18),Big Ten,W,61,56,,19,7,W 2,Crisler Arena,0.0,-,2:00p
michigan,basketball,2016-02-16,REG,Ohio State,Big Ten,L,66,76,,19,8,L 1,Value City Arena,0.0,-,7:00p
michigan,basketball,2016-02-21,REG,Maryland (6),Big Ten,L,82,86,,19,9,L 2,Xfinity Center,0.0,-,1:00p
michigan,basketball,2016-02-24,REG,Northwestern,Big Ten,W,72,63,,20,9,W 1,Crisler Arena,0.0,-,7:00p
michigan,basketball,2016-02-28,REG,Wisconsin,Big Ten,L,57,68,,20,10,L 1,Kohl Center,0.0,-,6:00p
michigan,basketball,2016-03-05,REG,Iowa (16),Big Ten,L,61,71,,20,11,L 2,Crisler Arena,0.0,-,8:00p
michigan,basketball,2016-03-10,CTOURN,Northwestern,Big Ten,W,72,70,OT,21,11,W 1,Bankers Life Fieldhouse,0.0,-,12:00p
michigan,basketball,2016-03-11,CTOURN,Indiana (10),Big Ten,W,72,69,,22,11,W 2,Bankers Life Fieldhouse,0.0,-,12:00p
michigan,basketball,2016-03-12,CTOURN,Purdue (13),Big Ten,L,59,76,,22,12,L 1,Bankers Life Fieldhouse,0.0,-,1:00p
michigan,basketball,2016-03-16,NCAA,Tulsa,AAC,W,67,62,,23,12,W 1,University of Dayton Arena,0.0,,9:10p
michigan,basketball,2016-03-18,NCAA,Notre Dame,ACC,L,63,70,,23,13,L 1,Barclays Center,0.0,,10:12p
michigan,basketball,2016-11-11,REG,Howard,MEAC,W,76,58,,1,0,W 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2016-11-13,REG,IUPUI,Summit,W,77,65,,2,0,W 2,Crisler Arena,0.0,-,12:00p
michigan,basketball,2016-11-17,REG,Marquette,Big East,W,79,61,,3,0,W 3,Madison Square Garden (IV),0.0,-,9:30p
michigan,basketball,2016-11-18,REG,Southern Methodist,AAC,W,76,54,,4,0,W 4,Madison Square Garden (IV),0.0,-,7:00p
michigan,basketball,2016-11-23,REG,South Carolina,SEC,L,46,61,,4,1,L 1,The Colonial Life Arena,0.0,25,5:00p
michigan,basketball,2016-11-26,REG,Mount St. Mary's,NEC,W,64,47,,5,1,W 1,Crisler Arena,0.0,25,7:00p
michigan,basketball,2016-11-30,REG,Virginia Tech,ACC,L,70,73,,5,2,L 1,Crisler Arena,0.0,-,7:15p
michigan,basketball,2016-12-03,REG,Kennesaw State,A-Sun,W,82,55,,6,2,W 1,Crisler Arena,0.0,-,1:00p
michigan,basketball,2016-12-06,REG,Texas,Big 12,W,53,50,,7,2,W 2,Crisler Arena,0.0,-,9:00p
michigan,basketball,2016-12-10,REG,UCLA (2),Pac-12,L,84,102,,7,3,L 1,Pauley Pavilion,0.0,-,8:00p
michigan,basketball,2016-12-13,REG,Central Arkansas,Southland,W,97,53,,8,3,W 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2016-12-17,REG,Maryland-Eastern Shore,MEAC,W,98,49,,9,3,W 2,Crisler Arena,0.0,-,3:00p
michigan,basketball,2016-12-22,REG,Furman,Southern,W,68,62,,10,3,W 3,Crisler Arena,0.0,-,7:00p
michigan,basketball,2017-01-01,REG,Iowa,Big Ten,L,83,86,OT,10,4,L 1,Carver-Hawkeye Arena,0.0,-,2:15p
michigan,basketball,2017-01-04,REG,Penn State,Big Ten,W,72,69,,11,4,W 1,Crisler Arena,0.0,-,8:30p
michigan,basketball,2017-01-07,REG,Maryland,Big Ten,L,70,77,,11,5,L 1,Crisler Arena,0.0,-,3:15p
michigan,basketball,2017-01-11,REG,Illinois,Big Ten,L,69,85,,11,6,L 2,State Farm Center,0.0,-,9:00p
michigan,basketball,2017-01-14,REG,Nebraska,Big Ten,W,91,85,,12,6,W 1,Crisler Arena,0.0,-,2:00p
michigan,basketball,2017-01-17,REG,Wisconsin (17),Big Ten,L,64,68,,12,7,L 1,Kohl Center,0.0,-,9:00p
michigan,basketball,2017-01-21,REG,Illinois,Big Ten,W,66,57,,13,7,W 1,Crisler Arena,0.0,-,2:15p
michigan,basketball,2017-01-26,REG,Indiana,Big Ten,W,90,60,,14,7,W 2,Crisler Arena,0.0,-,9:00p
michigan,basketball,2017-01-29,REG,Michigan State,Big Ten,L,62,70,,14,8,L 1,Breslin Events Center,0.0,-,1:00p
michigan,basketball,2017-02-04,REG,Ohio State,Big Ten,L,66,70,,14,9,L 2,Crisler Arena,0.0,-,6:00p
michigan,basketball,2017-02-07,REG,Michigan State,Big Ten,W,86,57,,15,9,W 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2017-02-12,REG,Indiana,Big Ten,W,75,63,,16,9,W 2,Assembly Hall,0.0,-,1:00p
michigan,basketball,2017-02-16,REG,Wisconsin (11),Big Ten,W,64,58,,17,9,W 3,Crisler Arena,0.0,-,7:00p
michigan,basketball,2017-02-19,REG,Minnesota,Big Ten,L,78,83,OT,17,10,L 1,Williams Arena,0.0,-,7:00p
michigan,basketball,2017-02-22,REG,Rutgers,Big Ten,W,68,64,,18,10,W 1,Louis Brown Athletic Center,0.0,-,6:30p
michigan,basketball,2017-02-25,REG,Purdue (14),Big Ten,W,82,70,,19,10,W 2,Crisler Arena,0.0,-,4:00p
michigan,basketball,2017-03-01,REG,Northwestern,Big Ten,L,65,67,,19,11,L 1,Welsh-Ryan Arena,0.0,-,7:00p
michigan,basketball,2017-03-05,REG,Nebraska,Big Ten,W,93,57,,20,11,W 1,Pinnacle Bank Arena,0.0,-,8:00p
michigan,basketball,2017-03-09,CTOURN,Illinois,Big Ten,W,75,55,,21,11,W 2,Verizon Center,0.0,-,12:00p
michigan,basketball,2017-03-10,CTOURN,Purdue (13),Big Ten,W,74,70,OT,22,11,W 3,Verizon Center,0.0,-,12:00p
michigan,basketball,2017-03-11,CTOURN,Minnesota,Big Ten,W,84,77,,23,11,W 4,Verizon Center,0.0,-,1:00p
michigan,basketball,2017-03-12,CTOURN,Wisconsin (24),Big Ten,W,71,56,,24,11,W 5,Verizon Center,0.0,-,3:00p
michigan,basketball,2017-03-17,NCAA,Oklahoma State,Big 12,W,92,91,,25,11,W 6,Bankers Life Fieldhouse,0.0,,12:15p
michigan,basketball,2017-03-19,NCAA,Louisville (10),ACC,W,73,69,,26,11,W 7,Bankers Life Fieldhouse,0.0,,12:10p
michigan,basketball,2017-03-23,NCAA,Oregon (9),Pac-12,L,68,69,,26,12,L 1,Sprint Center,0.0,,7:09p
michigan,basketball,2017-11-11,REG,North Florida,A-Sun,W,86,66,,1,0,W 1,Crisler Arena,0.0,-,7:30p
