game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
788,michigan state,basketball,,regular,Northwestern,W,54,40,,4,,,
789,michigan state,basketball,,regular,Illinois,W,78,62,,4,,,
790,michigan state,basketball,,regular,Indiana,W,71,66,,3,,,
791,michigan state,basketball,,regular,Michigan (21),L,75,80,,3,21.0,,
792,michigan state,basketball,,regular,Iowa (15),W,71,69,OT,7,15.0,,
793,michigan state,basketball,,regular,Georgetown,L,60,64,,7,,,
794,michigan state,basketball,,regular,Penn State,W,82,67,,9,,,
795,michigan state,basketball,,regular,Wisconsin,L,58,60,,9,,,
796,michigan state,basketball,,regular,Northwestern,W,85,70,,9,,,
797,michigan state,basketball,,regular,Nebraska,L,51,60,,9,,,
798,michigan state,basketball,,regular,Purdue,W,94,79,,13,,,
799,michigan state,basketball,,regular,Michigan (20),L,70,79,,13,20.0,,
800,michigan state,basketball,,regular,Illinois,L,46,53,,18,,,
801,michigan state,basketball,,regular,Iowa (24),W,86,76,,22,24.0,,
802,michigan state,basketball,,regular,Ohio State,L,67,69,,22,,,
803,michigan state,basketball,,CTOURN,Northwestern,W,67,51,,22,,,
804,michigan state,basketball,,CTOURN,Wisconsin (12),W,83,75,,22,12.0,,
805,michigan state,basketball,,CTOURN,Michigan (8),W,69,55,,22,8.0,,
806,michigan state,basketball,,NCAA,Delaware,W,93,78,,,,,
807,michigan state,basketball,,NCAA,Harvard,W,80,73,,,,,
808,michigan state,basketball,,NCAA,Virginia (3),W,61,59,,,3.0,,
809,michigan state,basketball,,NCAA,Connecticut (18),L,54,60,,,18.0,,
810,michigan state,basketball,2014-11-14 21:40:00,regular,Navy,W,64,59,,18,,2014-11-15 07:40:00,
811,michigan state,basketball,2014-11-18 19:00:00,regular,Duke (4),L,71,81,,19,4.0,2014-11-19 05:00:00,
812,michigan state,basketball,2014-11-21 19:00:00,regular,Loyola (IL),W,87,52,,19,,2014-11-22 05:00:00,
813,michigan state,basketball,2014-11-24 19:00:00,regular,Santa Clara,W,79,52,,20,,2014-11-25 05:00:00,
814,michigan state,basketball,2014-11-27 18:35:00,regular,Rider,W,77,45,,20,,2014-11-28 04:35:00,
815,michigan state,basketball,2014-11-28 21:00:00,regular,Marquette,W,79,68,,20,,2014-11-29 07:00:00,
816,michigan state,basketball,2014-11-30 13:00:00,regular,Kansas (11),L,56,61,,20,11.0,2014-11-30 23:00:00,
817,michigan state,basketball,2014-12-03 19:15:00,regular,Notre Dame,L,78,79,OT,19,,2014-12-04 05:15:00,
818,michigan state,basketball,2014-12-06 14:15:00,regular,Arkansas-Pine Bluff,W,85,52,,19,,2014-12-07 00:15:00,
819,michigan state,basketball,2014-12-14 20:00:00,regular,Oakland,W,87,61,,-,,2014-12-15 06:00:00,
820,michigan state,basketball,2014-12-17 21:00:00,regular,Eastern Michigan,W,66,46,,25,,2014-12-18 07:00:00,
821,michigan state,basketball,2014-12-20 17:00:00,regular,Texas Southern,L,64,71,OT,25,,2014-12-21 03:00:00,
822,michigan state,basketball,2014-12-22 18:00:00,regular,The Citadel,W,82,56,,-,,2014-12-23 04:00:00,
823,michigan state,basketball,2014-12-30 17:00:00,regular,Maryland (12),L,66,68,2OT,-,12.0,2014-12-31 03:00:00,
824,michigan state,basketball,2015-01-05 19:00:00,regular,Indiana,W,70,50,,-,,2015-01-06 05:00:00,
825,michigan state,basketball,2015-01-08 19:00:00,regular,Iowa,W,75,61,,-,,2015-01-09 05:00:00,
826,michigan state,basketball,2015-01-11 12:00:00,regular,Northwestern,W,84,77,OT,-,,2015-01-11 22:00:00,
827,michigan state,basketball,2015-01-17 16:00:00,regular,Maryland (14),L,59,75,,-,14.0,2015-01-18 02:00:00,
828,michigan state,basketball,2015-01-21 19:00:00,regular,Penn State,W,66,60,,-,,2015-01-22 05:00:00,
829,michigan state,basketball,2015-01-24 16:00:00,regular,Nebraska,L,77,79,,-,,2015-01-25 02:00:00,
830,michigan state,basketball,2015-01-29 18:00:00,regular,Rutgers,W,71,51,,-,,2015-01-30 04:00:00,
831,michigan state,basketball,2015-02-01 13:00:00,regular,Michigan,W,76,66,OT,-,,2015-02-01 23:00:00,
832,michigan state,basketball,2015-02-07 12:00:00,regular,Illinois,L,54,59,,-,,2015-02-07 22:00:00,
833,michigan state,basketball,2015-02-10 19:00:00,regular,Northwestern,W,68,44,,-,,2015-02-11 05:00:00,
834,michigan state,basketball,2015-02-14 12:00:00,regular,Ohio State (23),W,59,56,,-,23.0,2015-02-14 22:00:00,
835,michigan state,basketball,2015-02-17 21:00:00,regular,Michigan,W,80,67,,-,,2015-02-18 07:00:00,
836,michigan state,basketball,2015-02-22 19:30:00,regular,Illinois,W,60,53,,-,,2015-02-23 05:30:00,
837,michigan state,basketball,2015-02-26 19:00:00,regular,Minnesota,L,90,96,OT,-,,2015-02-27 05:00:00,
