INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,OFFENSE_ID,OFFENSE_NAME,AGENCY_ID,Day,School,SEASON
2009-10-05 17:00:00,17:00:00,50955394,55767562,Theft From Building,9040,0,michigan,Fall
2009-10-05 17:00:00,17:00:00,50955394,55767563,Destruction/Damage/Vandalism of Property,9040,0,michigan,Fall
2009-10-05 17:00:00,17:00:00,50955397,55764027,All Other Larceny,9040,0,michigan,Fall
2009-10-21 23:00:00,23:00:00,50955446,55756868,Theft From Building,9040,2,michigan,Fall
2009-11-20 15:00:00,15:00:00,50956377,55767579,Theft From Building,9040,4,michigan,Fall
2009-02-23 08:00:00,8:00:00,50950618,55756545,Theft From Building,9040,0,michigan,Winter
2009-06-26 18:00:00,18:00:00,50953456,55762003,Destruction/Damage/Vandalism of Property,9040,4,michigan,Summer
2009-07-22 10:00:00,10:00:00,50953536,55763997,Theft From Building,9040,2,michigan,Summer
2009-08-18 16:00:00,16:00:00,50954407,55766765,Theft From Building,9040,1,michigan,Summer
2009-08-18 16:00:00,16:00:00,50954407,55766766,Credit Card/Automated Teller Machine Fraud,9040,1,michigan,Summer
2009-11-01 03:00:00,3:00:00,50955482,55756874,Destruction/Damage/Vandalism of Property,9040,6,michigan,Fall
2009-12-11 17:00:00,17:00:00,50956466,55756895,Theft From Building,9040,4,michigan,Fall
2009-01-08 13:00:00,13:00:00,50949656,55756518,Credit Card/Automated Teller Machine Fraud,9040,3,michigan,Winter
2009-01-31 04:00:00,4:00:00,50950548,55771284,Simple Assault,9040,5,michigan,Winter
2009-02-15 20:00:00,20:00:00,50950594,55772046,Theft From Building,9040,6,michigan,Winter
2009-03-27 00:00:00,0:00:00,50951553,55761971,Theft From Motor Vehicle,9040,4,michigan,Spring
2009-03-27 00:00:00,0:00:00,50951553,55761972,Destruction/Damage/Vandalism of Property,9040,4,michigan,Spring
2009-03-11 12:00:00,12:00:00,50950670,55759764,Theft From Building,9040,2,michigan,Winter
2009-04-07 15:00:00,15:00:00,50951598,55756073,Theft From Building,9040,1,michigan,Spring
2009-05-01 19:00:00,19:00:00,50952496,55756045,Simple Assault,9040,4,michigan,Spring
2009-07-22 13:00:00,13:00:00,50953518,55756814,Theft From Building,9040,2,michigan,Summer
2009-03-11 20:00:00,20:00:00,50950676,55763579,Theft From Building,9040,2,michigan,Winter
2009-05-29 17:00:00,17:00:00,50952571,55772096,Theft From Motor Vehicle,9040,4,michigan,Spring
2009-05-29 17:00:00,17:00:00,50952571,55772097,Destruction/Damage/Vandalism of Property,9040,4,michigan,Spring
2009-09-11 01:00:00,1:00:00,50954475,55764421,Burglary/Breaking & Entering,9040,4,michigan,Summer
2009-11-20 02:00:00,2:00:00,50956381,55764458,Destruction/Damage/Vandalism of Property,9040,4,michigan,Fall
2009-01-09 12:00:00,12:00:00,50949663,55756519,Theft From Building,9040,4,michigan,Winter
2009-04-10 10:00:00,10:00:00,50951642,55756079,Theft From Building,9040,4,michigan,Spring
2009-06-12 09:00:00,9:00:00,50952610,55772105,Theft From Building,9040,4,michigan,Spring
2009-09-02 16:00:00,16:00:00,50954459,55756840,Theft From Building,9040,2,michigan,Summer
2009-11-19 12:00:00,12:00:00,50956374,55769035,Intimidation,9040,3,michigan,Fall
2009-12-04 07:00:00,7:00:00,50956421,55764815,Theft From Building,9040,4,michigan,Fall
2009-04-29 19:00:00,19:00:00,50952484,55766732,Theft From Motor Vehicle,9040,2,michigan,Spring
2009-08-20 17:00:00,17:00:00,50954413,55767527,Theft From Building,9040,3,michigan,Summer
2009-10-22 17:00:00,17:00:00,50956352,55767576,Theft From Building,9040,3,michigan,Fall
