game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index,incident_id,offense_id,offense_name,incident_date
561,michigan,basketball,2017-12-12 21:00:00,regular,texas,1,59,52,0,-,,2017-12-13 07:00:00,,,,95130271.0,117835909.0,Theft From Building,2017-12-12 21:00:00
116,michigan,football,2018-11-03 15:45:00,regular,penn state,1,42,7,0,5.0,14.0,2018-11-04 01:45:00,0.0,Michigan Stadium,1.70005490699999,105550155.0,129726042.0,Simple Assault,2018-11-03 18:00:00
116,michigan,football,2018-11-03 15:45:00,regular,penn state,1,42,7,0,5.0,14.0,2018-11-04 01:45:00,0.0,Michigan Stadium,1.70005490699999,101847652.0,125519691.0,Destruction/Damage/Vandalism of Property,2018-11-03 22:00:00
116,michigan,football,2018-11-03 15:45:00,regular,penn state,1,42,7,0,5.0,14.0,2018-11-04 01:45:00,0.0,Michigan Stadium,1.70005490699999,101847628.0,125530051.0,Extortion/Blackmail,2018-11-03 19:00:00
116,michigan,football,2018-11-03 15:45:00,regular,penn state,1,42,7,0,5.0,14.0,2018-11-04 01:45:00,0.0,Michigan Stadium,1.70005490699999,101845997.0,125519692.0,Aggravated Assault,2018-11-03 16:00:00
147,michigan state,football,2010-09-25 12:00:00,regular,northern colorado,1,45,7,0,25.0,,2010-09-25 23:00:00,0.0,Spartan Stadium,,56572828.0,57874987.0,Theft From Motor Vehicle,2010-09-25 15:00:00
147,michigan state,football,2010-09-25 12:00:00,regular,northern colorado,1,45,7,0,25.0,,2010-09-25 23:00:00,0.0,Spartan Stadium,,56572827.0,57868056.0,Drug/Narcotic Violations,2010-09-25 14:00:00
147,michigan state,football,2010-09-25 12:00:00,regular,northern colorado,1,45,7,0,25.0,,2010-09-25 23:00:00,0.0,Spartan Stadium,,56572829.0,57866938.0,All Other Larceny,2010-09-25 17:00:00
147,michigan state,football,2010-09-25 12:00:00,regular,northern colorado,1,45,7,0,25.0,,2010-09-25 23:00:00,0.0,Spartan Stadium,,56572831.0,57866940.0,All Other Larceny,2010-09-25 19:00:00
147,michigan state,football,2010-09-25 12:00:00,regular,northern colorado,1,45,7,0,25.0,,2010-09-25 23:00:00,0.0,Spartan Stadium,,56572830.0,57866939.0,Theft From Building,2010-09-25 18:00:00
910,michigan-state,basketball,2017-02-18 16:00:00,regular,purdue (16),0,63,80,0,-,16.0,2017-02-19 02:00:00,,,,,,,
14,michigan,football,2010-09-18 12:00:00,regular,umass,1,42,37,0,20.0,,2010-09-18 23:00:00,0.0,Michigan Stadium,,55985317.0,61585242.0,Simple Assault,2010-09-18 19:00:00
14,michigan,football,2010-09-18 12:00:00,regular,umass,1,42,37,0,20.0,,2010-09-18 23:00:00,0.0,Michigan Stadium,,55985318.0,61584836.0,Drug/Narcotic Violations,2010-09-18 23:00:00
14,michigan,football,2010-09-18 12:00:00,regular,umass,1,42,37,0,20.0,,2010-09-18 23:00:00,0.0,Michigan Stadium,,55986252.0,61581922.0,Theft From Building,2010-09-18 12:00:00
14,michigan,football,2010-09-18 12:00:00,regular,umass,1,42,37,0,20.0,,2010-09-18 23:00:00,0.0,Michigan Stadium,,55985315.0,61584834.0,Theft From Building,2010-09-18 13:00:00
14,michigan,football,2010-09-18 12:00:00,regular,umass,1,42,37,0,20.0,,2010-09-18 23:00:00,0.0,Michigan Stadium,,55985316.0,61584835.0,All Other Larceny,2010-09-18 12:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417838.0,79478877.0,All Other Larceny,2014-10-04 20:00:00
