,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
139,michigan,basketball,2013-04-08,NCAA,Louisville (2),Big East,L,76,82,,31,8,L 1,Georgia Dome,0.0,,,Louisville (#1) on April 8 9:23 PM,GA.,2013-04-08 21:23:00,2,2013-04-09 07:23:00
140,michigan,basketball,2013-11-08,REG,Massachusetts-Lowell,AEC,W,69,42,,1,0,W 1,Crisler Arena,0.0,7,,UMass-Lowell on November 8 7:00 PM,MICH.,2013-11-08 19:00:00,,2013-11-09 05:00:00
141,michigan,basketball,2013-11-12,REG,South Carolina State,MEAC,W,93,59,,2,0,W 2,Crisler Arena,0.0,7,,South Carolina State on November 12 7:00 PM,MICH.,2013-11-12 19:00:00,,2013-11-13 05:00:00
142,michigan,basketball,2013-11-17,REG,Iowa State,Big 12,L,70,77,,2,1,L 1,James H. Hilton Coliseum ,0.0,7,,Iowa State on November 17 4:00 PM,IOWA,2013-11-17 17:00:00,,2013-11-18 03:00:00
143,michigan,basketball,2013-11-21,REG,Long Beach State,Big West,W,85,61,,3,1,W 1,Roberto Clemente Coliseum,0.0,15,,Long Beach State on November 21 6:00 PM,PUERTO RICO,2013-11-21 18:00:00,,2013-11-22 04:00:00
144,michigan,basketball,2013-11-22,REG,Florida State,ACC,W,82,80,OT,4,1,W 2,Roberto Clemente Coliseum,0.0,15,,Florida State on November 22 6:00 PM,PUERTO RICO,2013-11-22 18:00:00,,2013-11-23 04:00:00
145,michigan,basketball,2013-11-24,REG,Charlotte,CUSA,L,61,63,,4,2,L 1,Roberto Clemente Coliseum,0.0,15,,Charlotte on November 24 7:30 PM,PUERTO RICO,2013-11-24 19:30:00,,2013-11-25 05:30:00
146,michigan,basketball,2013-11-29,REG,Coppin State,MEAC,W,87,45,,5,2,W 1,Crisler Arena,0.0,22,,Coppin State on November 29 3:00 PM,MICH.,2013-11-29 15:00:00,,2013-11-30 01:00:00
147,michigan,basketball,2013-12-03,REG,Duke (10),ACC,L,69,79,,5,3,L 1,Cameron Indoor Stadium,0.0,22,,Duke on December 3 9:20 PM,N.C.,2013-12-03 21:20:00,10,2013-12-04 07:20:00
148,michigan,basketball,2013-12-07,REG,Houston Baptist,Southland,W,107,53,,6,3,W 1,Crisler Arena,0.0,22,,Houston Baptist on December 7 12:00 PM,MICH.,2013-12-07 12:00:00,,2013-12-07 22:00:00
