INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,NAME,AGENCY_ID,Day
2013-01-11,2.0,69056269,Drug/Narcotic Violations,9040,Friday
2013-03-13,7.0,69058061,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-03-17,1.0,69058075,Drug/Narcotic Violations,9040,Sunday
2013-03-24,23.0,69058108,Theft From Building,9040,Sunday
2013-09-18,11.0,69062603,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-09-27,16.0,69062652,All Other Larceny,9040,Friday
2013-10-17,17.0,69063499,Drug/Narcotic Violations,9040,Thursday
2013-10-14,21.0,69062708,All Other Larceny,9040,Monday
2013-11-23,23.0,69063610,Drug/Narcotic Violations,9040,Saturday
2013-01-12,22.0,69056276,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-02-11,0.0,69057160,Destruction/Damage/Vandalism of Property,9040,Monday
2013-10-05,20.0,69062673,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-12-17,12.0,69064482,Theft From Building,9040,Tuesday
2013-03-22,14.0,69058098,Theft From Building,9040,Friday
2013-03-27,17.0,69058120,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-04-03,16.0,69058149,Burglary/Breaking & Entering,9040,Wednesday
2013-04-03,16.0,69058149,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-05-17,2.0,69059894,Theft From Motor Vehicle,9040,Friday
2013-08-16,15.0,69061707,Destruction/Damage/Vandalism of Property,9040,Friday
2013-09-03,14.0,69061745,Credit Card/Automated Teller Machine Fraud,9040,Tuesday
2013-04-30,6.0,69059074,Burglary/Breaking & Entering,9040,Tuesday
2013-05-23,12.0,69059927,Theft From Building,9040,Thursday
2013-08-19,23.0,69061711,Simple Assault,9040,Monday
2013-08-08,9.0,69060896,Theft From Building,9040,Thursday
2013-01-24,16.0,69057121,Theft From Building,9040,Thursday
2013-02-18,7.0,69057185,Theft From Building,9040,Monday
2013-02-22,18.0,69057230,Destruction/Damage/Vandalism of Property,9040,Friday
2013-03-14,11.0,69058065,Simple Assault,9040,Thursday
2013-06-10,17.0,69059945,Fondling,9040,Monday
2013-09-21,15.0,69062633,False Pretenses/Swindle/Confidence Game,9040,Saturday
2013-10-03,6.0,69062664,Impersonation,9040,Thursday
2013-12-04,3.0,69064421,Simple Assault,9040,Wednesday
2013-03-20,7.0,69058095,Theft From Building,9040,Wednesday
2013-04-29,16.0,69059068,Theft From Building,9040,Monday
2013-09-15,2.0,69062587,Drug/Narcotic Violations,9040,Sunday
2013-12-10,6.0,69064440,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-01-20,21.0,69056307,Robbery,9040,Sunday
2013-03-15,0.0,69058068,Drug/Narcotic Violations,9040,Friday
2013-04-18,18.0,69059027,Theft From Building,9040,Thursday
2013-05-11,13.0,69059891,Theft From Motor Vehicle,9040,Saturday
2013-05-25,9.0,69059916,All Other Larceny,9040,Saturday
2013-07-20,22.0,69061705,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-11-08,16.0,69063576,All Other Larceny,9040,Friday
2013-10-30,22.0,69063545,Theft of Motor Vehicle Parts or Accessories,9040,Wednesday
2013-10-11,16.0,69062700,Theft From Building,9040,Friday
2013-03-05,7.0,69058032,Theft From Building,9040,Tuesday
2013-03-11,9.0,69058109,All Other Larceny,9040,Monday
2013-04-19,14.0,69059028,Theft From Building,9040,Friday
2013-05-14,8.0,69059892,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-06-25,15.0,69063553,Theft From Building,9040,Tuesday
2013-07-15,13.0,69060810,Theft From Building,9040,Monday
2013-08-03,17.0,69060875,Theft From Building,9040,Saturday
2013-10-30,16.0,69063540,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-11-08,12.0,69063615,All Other Larceny,9040,Friday
2013-02-21,21.0,69057205,Theft From Building,9040,Thursday
2013-04-12,1.0,69058991,Drug/Narcotic Violations,9040,Friday
2013-07-02,17.0,69060774,Drug/Narcotic Violations,9040,Tuesday
2013-07-09,16.0,69060797,Theft From Building,9040,Tuesday
2013-09-07,2.0,69061772,Theft From Building,9040,Saturday
2013-10-21,11.0,69063512,Theft From Building,9040,Monday
2013-10-01,22.0,69062657,All Other Larceny,9040,Tuesday
2013-12-20,11.0,69064484,Theft From Building,9040,Friday
2013-02-10,22.0,69057161,Theft From Building,9040,Sunday
2013-05-17,8.0,69059900,Theft From Building,9040,Friday
2013-08-06,18.0,69060884,Shoplifting,9040,Tuesday
2013-09-04,14.0,69061758,All Other Larceny,9040,Wednesday
2013-02-15,18.0,69057187,Destruction/Damage/Vandalism of Property,9040,Friday
2013-03-11,17.0,69059922,Theft From Building,9040,Monday
2013-05-05,0.0,69059864,Drug/Narcotic Violations,9040,Sunday
2013-10-14,11.0,69063556,Theft From Building,9040,Monday
2013-01-30,9.0,69057125,Theft From Building,9040,Wednesday
2013-01-07,12.0,69056257,Theft From Building,9040,Monday
2013-03-19,11.0,69058085,Destruction/Damage/Vandalism of Property,9040,Tuesday
