,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State,Attendance
86,89,michigan,2012-01-21,REG,Arkansas,SEC,L,64,66,,15,5,L 1,Bud Walton Arena,20,,Arkansas on January 21 1:00 PM,1:00 PM,ARK.,19050
87,90,michigan,2012-01-24,REG,Purdue,Big Ten,W,66,64,,16,5,W 1,Mackey Arena,20,,Purdue on January 24 7:00 PM,7:00 PM,IND.,14533
88,91,michigan,2012-01-29,REG,Ohio State (4),Big Ten,L,49,64,,16,6,L 1,Value City Arena,20,,Ohio State on January 29 1:00 PM,1:00 PM,OHIO,18809
89,92,michigan,2012-02-01,REG,Indiana (20),Big Ten,W,68,56,,17,6,W 1,Crisler Arena,23,,Indiana on February 1 6:30 PM,6:30 PM,MICH.,12721
90,93,michigan,2012-02-05,REG,Michigan State (9),Big Ten,L,54,64,,17,7,L 1,Breslin Events Center,23,,Michigan State on February 5 1:00 PM,1:00 PM,MICH.,14797
91,94,michigan,2012-02-08,REG,Nebraska,Big Ten,W,62,46,,18,7,W 1,Bob Devaney Sports Center,22,,Nebraska on February 8 7:30 PM,7:30 PM,NEB.,9533
92,95,michigan,2012-02-12,REG,Illinois,Big Ten,W,70,61,,19,7,W 2,Crisler Arena,22,,Illinois on February 12 1:00 PM,1:00 PM,MICH.,12721
93,96,michigan,2012-02-18,REG,Ohio State (6),Big Ten,W,56,51,,20,7,W 3,Crisler Arena,17,,Ohio State on February 18 9:00 PM,9:00 PM,MICH.,12721
94,97,michigan,2012-02-21,REG,Northwestern,Big Ten,W,67,55,OT,21,7,W 4,Welsh-Ryan Arena,11,,Northwestern on February 21 7:00 PM,7:00 PM,ILL.,8117
95,98,michigan,2012-02-25,REG,Purdue,Big Ten,L,61,75,,21,8,L 1,Crisler Arena,11,,Purdue on February 25 6:00 PM,6:00 PM,MICH.,12721
96,99,michigan,2012-03-01,REG,Illinois,Big Ten,W,72,61,,22,8,W 1,Assembly Hall,13,,Illinois on March 1 6:00 PM,6:00 PM,ILL.,15244
97,100,michigan,2012-03-04,REG,Penn State,Big Ten,W,71,65,,23,8,W 2,Bryce Jordan Center,13,,Penn State on March 4 1:00 PM,1:00 PM,PA.,9564
98,102,michigan,2012-03-09,CTOURN,Minnesota,Big Ten,W,73,69,OT,24,8,W 3,,10,,Minnesota (#10) on March 9 6:30 PM,6:30 PM,IND.,18848
99,103,michigan,2012-03-10,CTOURN,Ohio State (7),Big Ten,L,55,77,,24,9,L 1,Conseco Fieldhouse,10,,Ohio State (#3) on March 10 4:05 PM,4:05 PM,IND.,18451
100,105,michigan,2012-03-16,NCAA,Ohio,MAC,L,60,65,,24,10,L 2,Bridgestone Arena,,,Ohio (#13) on March 16 6:20 PM,6:20 PM,TENN.,11625
101,106,michigan,2012-11-09,REG,Slippery Rock,,W,100,62,,1,0,W 1,Crisler Arena,5,,Slippery Rock on November 9 8:30 PM,8:30 PM,MICH.,12693
